timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681927121467,46,Get User By ID,304,Not Modified,CRUD Operations 3-3,,true,,638,423,10,26,https://reqres.in/api/users/12,0,0,0
1681927121492,26,Get User By ID,200,OK,CRUD Operations 3-10,text,true,,1002,371,10,26,https://reqres.in/api/users/11,26,0,0
1681927121514,25,Get User By ID,200,OK,CRUD Operations 3-3,text,true,,1004,370,10,26,https://reqres.in/api/users/8,25,0,0
1681927121521,23,Get User By ID,304,Not Modified,CRUD Operations 3-10,,true,,640,422,10,26,https://reqres.in/api/users/8,0,0,0
1681927121540,28,Get User By ID,200,OK,CRUD Operations 3-3,text,true,,996,371,10,29,https://reqres.in/api/users/10,27,0,0
1681927121253,324,Get User By ID,200,OK,CRUD Operations 3-6,text,true,,1003,370,10,29,https://reqres.in/api/users/8,324,0,0
1681927121560,33,Get User By ID,304,Not Modified,CRUD Operations 3-10,,true,,636,422,10,29,https://reqres.in/api/users/8,0,0,0
1681927121569,44,Get User By ID,200,OK,CRUD Operations 3-3,text,true,,998,370,10,29,https://reqres.in/api/users/9,44,0,0
1681927121402,200,Get User By ID,200,"Number of samples in transaction : 6, number of failing samples : 0",CRUD Operations 3-3,,true,,5270,2328,10,29,null,128,12,0
1681927121579,39,Get User By ID,200,OK,CRUD Operations 3-6,text,true,,1006,371,10,29,https://reqres.in/api/users/10,39,0,0
1681927121274,345,https://reqres.in/api/unknown/23,404,Not Found,Exception Paths Group 2-1,text,false,,700,373,5,29,https://reqres.in/api/unknown/23,345,0,0
1681927121273,345,Get Single Resource,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-1,,false,,700,373,5,29,null,345,2,0
1681927121595,27,Get User By ID,304,Not Modified,CRUD Operations 3-10,,true,,640,422,10,29,https://reqres.in/api/users/8,0,0,0
1681927121432,166,Get User By ID,200,"Number of samples in transaction : 6, number of failing samples : 0",CRUD Operations 3-10,,true,,4922,2378,10,29,null,83,25,0
1681927121304,319,https://reqres.in/api/unknown/23,404,Not Found,Exception Paths Group 2-3,text,false,,696,373,5,29,https://reqres.in/api/unknown/23,319,0,0
1681927121303,319,Get Single Resource,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-3,,false,,696,373,5,29,null,319,3,0
1681927121286,358,https://reqres.in/api/users,201,Created,CRUD Operations 3-9,text,true,,742,423,10,29,https://reqres.in/api/users,358,0,0
1681927121285,358,Create User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-9,,true,,742,423,10,29,null,358,2,0
1681927121614,32,https://reqres.in/api/unknown,200,OK,CRUD Operations 3-3,text,true,,1423,370,10,29,https://reqres.in/api/unknown,31,0,0
1681927121614,32,List <Resources>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-3,,true,,1423,370,10,29,null,31,0,0
